,ulsd
2025-07-31,2.3994998931884766
2025-08-01,2.2999000549316406
2025-08-04,2.3176000118255615
2025-08-05,2.250200033187866
2025-08-06,2.2627999782562256
2025-08-07,2.2667999267578125
2025-08-08,2.2792999744415283
2025-08-11,2.2909998893737793
2025-08-12,2.2441000938415527
2025-08-13,2.242799997329712
2025-08-14,2.234499931335449
2025-08-15,2.2249999046325684
2025-08-18,2.240299940109253
2025-08-19,2.2511000633239746
2025-08-20,2.279599905014038
2025-08-21,2.3250999450683594
2025-08-22,2.3080999851226807
2025-08-25,2.3475000858306885
2025-08-26,2.2804999351501465
2025-08-27,2.295300006866455
2025-08-28,2.309799909591675
2025-08-29,2.266700029373169
2025-09-02,2.3743999004364014
2025-09-03,2.3608999252319336
2025-09-04,2.330699920654297
2025-09-05,2.2869999408721924
2025-09-08,2.3118999004364014
2025-09-09,2.3199000358581543
2025-09-10,2.333699941635132
2025-09-11,2.281899929046631
2025-09-12,2.2899999618530273
2025-09-15,2.3310999870300293
2025-09-16,2.3935000896453857
2025-09-17,2.35479998588562
2025-09-18,2.3399999141693115
2025-09-19,2.2988998889923096
2025-09-22,2.29229998588562
2025-09-23,2.328000068664551
2025-09-24,2.37719988822937
2025-09-25,2.426500082015991
2025-09-26,2.4289000034332275
2025-09-29,2.356600046157837
2025-09-30,2.3324999809265137
2025-10-01,2.3018999099731445
2025-10-02,2.243499994277954
2025-10-03,2.236299991607666
2025-10-06,2.24429988861084
2025-10-07,2.2653000354766846
2025-10-08,2.291300058364868
2025-10-09,2.2802999019622803
2025-10-10,2.204400062561035
2025-10-13,2.2497000694274902
2025-10-14,2.1975998878479004
2025-10-15,2.174799919128418
2025-10-16,2.1535000801086426
2025-10-17,2.180000066757202
2025-10-20,2.1921000480651855
2025-10-21,2.2058000564575195
2025-10-22,2.2495999336242676
2025-10-23,2.4030001163482666
2025-10-24,2.40310001373291
2025-10-27,2.4361000061035156
2025-10-28,2.387200117111206
2025-10-29,2.424299955368042
2025-10-30,2.4600000381469727
2025-10-31,2.4312000274658203
2025-11-03,2.4052999019622803
2025-11-04,2.4446001052856445
2025-11-05,2.432499885559082
2025-11-06,2.4960999488830566
2025-11-07,2.482100009918213
2025-11-10,2.5104000568389893
2025-11-11,2.575700044631958
2025-11-12,2.481600046157837
2025-11-13,2.4646999835968018
2025-11-14,2.531100034713745
2025-11-17,2.546999931335449
2025-11-18,2.7011001110076904
2025-11-19,2.635699987411499
2025-11-20,2.5332999229431152
2025-11-21,2.456399917602539
2025-11-24,2.406100034713745
2025-11-25,2.353800058364868
2025-11-26,2.325500011444092
2025-11-28,2.3329999446868896
2025-12-01,2.3399999141693115
2025-12-02,2.312700033187866
2025-12-03,2.300800085067749
2025-12-04,2.3036999702453613
2025-12-05,2.3629000186920166
2025-12-08,2.2981998920440674
2025-12-09,2.2600998878479004
2025-12-10,2.2730000019073486
2025-12-11,2.2288999557495117
2025-12-12,2.197999954223633
2025-12-15,2.1805999279022217
2025-12-16,2.1285998821258545
2025-12-17,2.1494998931884766
2025-12-18,2.1315999031066895
2025-12-19,2.1219000816345215
2025-12-22,2.158099889755249
2025-12-23,2.1905999183654785
2025-12-24,2.157599925994873
2025-12-26,2.1070001125335693
2025-12-29,2.127500057220459
2025-12-30,2.1505000591278076
2025-12-31,2.1205999851226807
2026-01-02,2.1150999069213867
2026-01-05,2.1428000926971436
2026-01-06,2.0829999446868896
2026-01-07,2.0566999912261963
2026-01-08,2.119499921798706
2026-01-09,2.134999990463257
2026-01-12,2.154400110244751
2026-01-13,2.2383999824523926
2026-01-14,2.281899929046631
2026-01-15,2.2083001136779785
2026-01-16,2.237600088119507
2026-01-20,2.3385000228881836
2026-01-21,2.430500030517578
2026-01-22,2.36680006980896
2026-01-23,2.428499937057495
2026-01-26,2.568000078201294
2026-01-27,2.646199941635132
2026-01-28,2.666100025177002
2026-01-29,2.585400104522705
2026-01-30,2.735599994659424
2026-02-02,2.359800100326538
2026-02-03,2.4093000888824463
2026-02-04,2.4700000286102295
2026-02-05,2.393199920654297
2026-02-06,2.413300037384033
2026-02-09,2.4168999195098877
2026-02-10,2.3987998962402344
2026-02-11,2.4403998851776123
2026-02-12,2.392699956893921
2026-02-13,2.3879001140594482
2026-02-17,2.3905999660491943
2026-02-18,2.518699884414673
2026-02-19,2.6147000789642334
2026-02-20,2.5857999324798584
2026-02-23,2.6782000064849854
2026-02-24,2.6868999004364014
2026-02-25,2.6740000247955322
2026-02-26,2.612499952316284
2026-02-27,2.6709001064300537
2026-03-02,2.900399923324585
2026-03-03,3.1868999004364014
2026-03-04,3.293800115585327
2026-03-05,3.614300012588501
2026-03-06,3.6224000453948975
2026-03-09,3.5866000652313232
2026-03-10,3.34660005569458
2026-03-11,3.678800106048584
2026-03-12,3.898900032043457
2026-03-13,4.014699935913086
2026-03-16,3.8375000953674316
2026-03-17,4.0157999992370605
2026-03-18,4.197800159454346
2026-03-19,4.3420000076293945
2026-03-20,4.608399868011475
2026-03-23,4.056000232696533
2026-03-24,4.290900230407715
2026-03-25,4.00629997253418
2026-03-26,4.273399829864502
2026-03-27,4.495500087738037
2026-03-30,4.364299774169922
2026-03-31,4.163400173187256
2026-04-01,4.05679988861084
2026-04-02,4.361100196838379
2026-04-06,4.328400135040283
2026-04-07,4.477399826049805
2026-04-08,3.8083999156951904
2026-04-09,3.937000036239624
2026-04-10,3.7616000175476074
2026-04-13,3.8341000080108643
2026-04-14,3.624300003051758
2026-04-15,3.753200054168701
2026-04-16,3.832900047302246
2026-04-17,3.39739990234375
2026-04-20,3.5408999919891357
2026-04-21,3.728800058364868
2026-04-22,3.9379000663757324
2026-04-23,3.9881999492645264
2026-04-24,3.887399911880493
2026-04-27,3.9746999740600586
2026-04-28,3.9711999893188477
2026-04-29,4.198699951171875
2026-04-30,4.138400077819824
2026-05-01,3.9463999271392822
2026-05-04,4.073200225830078
2026-05-05,4.030200004577637
2026-05-06,3.785599946975708
2026-05-07,3.8166000843048096
2026-05-08,3.8991000652313232
2026-05-11,3.968600034713745
2026-05-12,4.15880012512207
2026-05-13,3.9667000770568848
2026-05-14,3.905600070953369
2026-05-15,4.053400039672852
2026-05-18,4.114500045776367
